Month_Registered,Zip_Code,City,County,Total_EV_Registrations
2020-07-31,20601,Waldorf,Charles County,45
2020-07-31,20602,Waldorf,Charles County,50
2020-07-31,20603,Waldorf,Charles County,93
2020-07-31,20604,Waldorf,Charles County,0
2020-07-31,20606,Abell,Saint Mary's County,1
2020-07-31,20607,Accokeek,Prince George's County,66
2020-07-31,20608,Aquasco,Prince George's County,1
2020-07-31,20609,Avenue,Saint Mary's County,0
2020-07-31,20610,Barstow,Calvert County,0
2020-07-31,20611,Bel Alton,Charles County,1
2020-07-31,20612,Benedict,Charles County,0
2020-07-31,20613,Brandywine,Prince George's County,56
2020-07-31,20615,Broomes Island,Calvert County,0
2020-07-31,20616,Bryans Road,Charles County,14
2020-07-31,20617,Bryantown,Charles County,0
2020-07-31,20618,Bushwood,Saint Mary's County,1
2020-07-31,20619,California,Saint Mary's County,53
2020-07-31,20620,Callaway,Saint Mary's County,3
2020-07-31,20621,Chaptico,Saint Mary's County,3
2020-07-31,20622,Charlotte Hall,Saint Mary's County,9
2020-07-31,20623,Cheltenham,Prince George's County,5
2020-07-31,20624,Clements,Saint Mary's County,1
2020-07-31,20625,Cobb Island,Charles County,0
2020-07-31,20626,Coltons Point,Saint Mary's County,0
2020-07-31,20627,Compton,Saint Mary's County,1
2020-07-31,20628,Dameron,Saint Mary's County,4
2020-07-31,20629,Dowell,Calvert County,2
2020-07-31,20630,Drayden,Saint Mary's County,2
2020-07-31,20632,Faulkner,Charles County,0
2020-07-31,20634,Great Mills,Saint Mary's County,26
2020-07-31,20635,Helen,Saint Mary's County,0
2020-07-31,20636,Hollywood,Saint Mary's County,37
2020-07-31,20637,Hughesville,Charles County,23
2020-07-31,20639,Huntingtown,Calvert County,59
2020-07-31,20640,Indian Head,Charles County,19
2020-07-31,20643,Ironsides,Charles County,0
2020-07-31,20645,Issue,Charles County,5
2020-07-31,20646,La Plata,Charles County,41
2020-07-31,20650,Leonardtown,Saint Mary's County,69
2020-07-31,20653,Lexington Park,Saint Mary's County,54
2020-07-31,20656,Loveville,Saint Mary's County,0
2020-07-31,20657,Lusby,Calvert County,47
2020-07-31,20658,Marbury,Charles County,3
2020-07-31,20659,Mechanicsville,Saint Mary's County,37
2020-07-31,20660,Morganza,Saint Mary's County,0
2020-07-31,20661,Mount Victoria,Charles County,0
2020-07-31,20662,Nanjemoy,Charles County,3
2020-07-31,20664,Newburg,Charles County,6
2020-07-31,20667,Park Hall,Saint Mary's County,1
2020-07-31,20670,Patuxent River,Saint Mary's County,1
2020-07-31,20674,Piney Point,Saint Mary's County,6
2020-07-31,20675,Pomfret,Charles County,6
2020-07-31,20676,Port Republic,Calvert County,5
2020-07-31,20677,Port Tobacco,Charles County,13
2020-07-31,20678,Prince Frederick,Calvert County,28
2020-07-31,20680,Ridge,Saint Mary's County,1
2020-07-31,20682,Rock Point,Charles County,0
2020-07-31,20684,Saint Inigoes,Saint Mary's County,2
2020-07-31,20685,Saint Leonard,Calvert County,18
2020-07-31,20686,Saint Marys City,Saint Mary's County,2
2020-07-31,20687,Scotland,Saint Mary's County,0
2020-07-31,20688,Solomons,Calvert County,16
2020-07-31,20689,Sunderland,Calvert County,5
2020-07-31,20690,Tall Timbers,Saint Mary's County,7
2020-07-31,20692,Valley Lee,Saint Mary's County,2
2020-07-31,20693,Welcome,Charles County,1
2020-07-31,20695,White Plains,Charles County,32
2020-07-31,20697,Southern Md Facility,Prince George's County,0
2020-07-31,20701,Annapolis Junction,Howard County,6
2020-07-31,20703,Lanham,Prince George's County,0
2020-07-31,20704,Beltsville,Prince George's County,0
2020-07-31,20705,Beltsville,Prince George's County,64
