Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
21042,Ellicott City,Howard County,2878,2971,3873,3978,3978,0,2971.0,3873.0,3978.0,3978.0
20901,Silver Spring,Montgomery County,1064,1062,1379,2405,3978,0,1062.0,1379.0,2405.0,3978.0
20895,Kensington,Montgomery County,1067,1056,1426,2531,3978,0,1056.0,1426.0,2531.0,3978.0
20902,Silver Spring,Montgomery County,1229,1255,1592,2901,3978,0,1255.0,1592.0,2901.0,3978.0
20906,Silver Spring,Montgomery County,1410,1421,1809,3209,3978,0,1421.0,1809.0,3209.0,3978.0
20871,Clarksburg,Montgomery County,2253,2301,3143,3978,3978,0,2301.0,3143.0,3978.0,3978.0
20817,Bethesda,Montgomery County,3556,3732,3978,3978,3978,0,3732.0,3978.0,3978.0,3978.0
20816,Bethesda,Montgomery County,1312,1354,1711,3137,3978,0,1354.0,1711.0,3137.0,3978.0
20774,Upper Marlboro,Prince George's County,1320,1344,1713,3139,3978,0,1344.0,1713.0,3139.0,3978.0
20772,Upper Marlboro,Prince George's County,1518,1544,2114,3781,3978,0,1544.0,2114.0,3781.0,3978.0
20723,Laurel,Howard County,1517,1534,2006,3523,3978,0,1534.0,2006.0,3523.0,3978.0
21701,Frederick,Frederick County,1207,1202,1521,2673,3978,0,1202.0,1521.0,2673.0,3978.0
21146,Severna Park,Anne Arundel County,1039,1020,1268,2193,3930,0,1020.0,1268.0,2193.0,3930.0
21136,Reisterstown,Baltimore County,916,924,1153,2160,3852,0,924.0,1153.0,2160.0,3852.0
21122,Pasadena,Anne Arundel County,977,969,1204,2111,3723,0,969.0,1204.0,2111.0,3723.0
20721,Bowie,Prince George's County,918,903,1128,1624,3025,0,903.0,1128.0,1624.0,3025.0
20832,Olney,Montgomery County,806,802,959,1483,2677,0,802.0,959.0,1483.0,2677.0
21502,Cumberland,Allegany County,712,705,899,1425,2452,0,705.0,899.0,1425.0,2452.0
21030,Cockeysville,Baltimore County,659,661,829,1355,2288,0,661.0,829.0,1355.0,2288.0
20905,Silver Spring,Montgomery County,666,682,844,1268,2241,0,682.0,844.0,1268.0,2241.0
20882,Gaithersburg,Montgomery County,673,687,839,1269,2241,0,687.0,839.0,1269.0,2241.0
20886,Montgomery Village,Montgomery County,675,678,842,1269,2241,0,678.0,842.0,1269.0,2241.0
20876,Germantown,Montgomery County,701,706,825,1225,2160,0,706.0,825.0,1225.0,2160.0
20841,Boyds,Montgomery County,650,660,815,1224,2160,0,660.0,815.0,1224.0,2160.0
21043,Ellicott City,Howard County,2385,2423,3209,3978,3978,1,1211.5,1604.5,1989.0,1989.0
21075,Elkridge,Howard County,1280,1298,1665,3056,3978,1,649.0,832.5,1528.0,1989.0
21113,Odenton,Anne Arundel County,1111,1134,1424,2526,3978,1,567.0,712.0,1263.0,1989.0
21044,Columbia,Howard County,1795,1834,2399,3978,3978,1,917.0,1199.5,1989.0,1989.0
20770,Greenbelt,Prince George's County,1318,1295,1714,3139,3978,1,647.5,857.0,1569.5,1989.0
20815,Chevy Chase,Montgomery County,2163,2192,2902,3978,3978,1,1096.0,1451.0,1989.0,1989.0
20855,Derwood,Montgomery County,1472,1503,1975,3527,3978,1,751.5,987.5,1763.5,1989.0
21704,Frederick,Frederick County,1291,1318,1666,3056,3978,1,659.0,833.0,1528.0,1989.0
20854,Potomac,Montgomery County,4505,3976,3976,3976,3976,1,1988.0,1988.0,1988.0,1988.0
21784,Sykesville,Carroll County,1032,1019,1268,2241,3974,1,509.5,634.0,1120.5,1987.0
21921,Elkton,Cecil County,455,462,597,1007,1713,0,462.0,597.0,1007.0,1713.0
21770,Monrovia,Frederick County,485,490,632,1028,1665,0,490.0,632.0,1028.0,1665.0
21128,Perry Hall,Baltimore County,419,425,563,946,1664,0,425.0,563.0,946.0,1664.0
21742,Hagerstown,Washington County,473,482,610,981,1624,0,482.0,610.0,981.0,1624.0
20646,La Plata,Charles County,471,470,610,981,1624,0,470.0,610.0,981.0,1624.0
21601,Easton,Talbot County,448,467,598,970,1592,0,467.0,598.0,970.0,1592.0
20613,Brandywine,Prince George's County,588,588,761,1160,1592,0,588.0,761.0,1160.0,1592.0
21157,Westminster,Carroll County,519,528,655,983,1592,0,528.0,655.0,983.0,1592.0
21001,Aberdeen,Harford County,434,426,559,965,1521,0,426.0,559.0,965.0,1521.0
21221,Essex,Baltimore County,372,382,508,832,1425,0,382.0,508.0,832.0,1425.0
20743,Capitol Heights,Prince George's County,512,515,663,1051,1424,0,515.0,663.0,1051.0,1424.0
20705,Beltsville,Prince George's County,536,550,663,1030,1424,0,550.0,663.0,1030.0,1424.0
